#{"t_start": 1789802400.5430453, "env_id": "Humanoid-v5"}
r,l,t
95.750873,21,15.799599
121.809,30,15.830109
115.035879,26,15.855574
96.327336,21,15.881506
71.220191,16,15.90342
75.908333,17,15.920375
80.475509,18,15.938327
107.613114,26,15.964315
79.823167,18,15.982666
81.036059,18,16.000618
80.765033,18,16.018598
126.720169,28,16.047492
78.647936,18,16.06644
103.340709,22,16.08841
129.8804,27,17.279903
122.356454,30,17.315807
85.482803,19,17.337746
194.56079,41,17.387299
112.756922,24,17.414228
87.745491,19,17.43919
99.829986,23,17.464148
81.169996,18,17.48215
76.274246,17,17.499701
116.213554,25,17.524634
141.343659,31,17.557654
79.898435,18,17.574609
76.213475,17,17.591594
75.787679,17,17.608545
253.161159,53,17.668357
80.203711,18,17.68631
172.279407,39,17.728198
83.994018,19,17.747147
192.755431,41,17.792026
119.261483,27,17.818955
146.989795,33,17.853862
80.359735,19,17.874427
80.672893,18,17.89238
94.812307,23,17.921302
79.895127,18,17.940249
167.419561,34,17.97982
91.369277,20,18.003726
157.046224,37,18.041625
135.896218,29,18.07354
103.939712,22,18.096477
119.415422,26,18.123407
76.523754,17,18.140361
183.45442,42,18.186265
140.291211,30,18.217155
75.654666,17,18.233113
84.409729,19,18.252062
95.069852,21,18.273006
96.33146,21,18.29395
78.905404,18,18.311902
111.159846,24,18.335838
180.962055,41,18.378723
90.025681,20,18.39867
199.78445,44,18.449534
69.724874,16,18.472473
80.687623,18,18.491058
104.049029,23,18.513008
81.538656,18,18.530954
133.466701,29,18.559874
79.872383,18,18.577826
90.553721,22,18.59877
149.068558,35,18.634661
117.797839,25,18.659579
85.124776,19,18.678556
167.461655,37,18.716457
81.163909,18,18.73341
89.623654,20,18.753545
99.387206,23,18.776484
140.135807,31,18.807434
75.36558,17,18.824392
120.359776,28,18.851319
113.157484,24,18.874258
75.578422,17,18.891215
76.292888,17,18.907164
104.241507,23,18.929108
106.889399,24,18.953042
133.505507,30,18.982996
134.339008,29,19.012507
129.14998,30,19.04542
112.486725,27,19.072347
104.027029,24,19.096283
176.763654,37,19.134182
81.697506,18,19.153131
133.911498,30,19.184021
94.179845,21,19.204965
156.139393,33,19.238905
127.447212,29,19.267824
92.137492,20,19.286773
159.527835,34,19.32168
86.059587,19,19.34063
76.255719,17,19.357943
137.933379,29,19.386866
86.599582,19,19.405815
89.7956,20,20.533623
132.756227,29,20.569528
152.291867,36,20.606428
75.338651,17,20.628368
81.520858,18,20.648316
84.836603,19,20.669261
119.037467,26,20.697185
198.244231,43,20.74309
120.050406,26,20.769019
196.564848,42,20.813904
98.933852,21,20.835845
104.054715,23,20.858812
151.540178,32,20.891723
189.660541,42,20.934612
109.90866,25,20.959543
165.203864,34,20.994102
108.672218,23,21.017043
139.077223,31,21.047879
122.961195,26,21.074804
111.451229,28,21.103727
85.692643,19,21.122649
93.553527,21,21.143593
80.354371,18,21.161573
76.094407,17,21.1785
163.349615,33,21.212409
117.009505,27,21.240333
130.666044,28,21.269286
123.531696,27,21.296214
119.834892,26,21.32314
71.637067,16,21.339104
88.829343,20,21.359016
163.872191,36,21.395946
102.624801,22,21.417887
192.121264,45,21.467753
81.531924,18,21.485705
191.818432,43,21.53126
138.986829,30,21.561177
86.612145,19,21.579136
106.469389,23,21.602068
81.448342,18,21.620026
94.097434,21,21.639967
92.393157,20,21.658919
144.682988,32,21.691828
87.392479,20,21.711775
80.622649,18,21.728732
87.745201,19,21.746683
80.302109,18,21.763829
242.502631,54,21.819682
70.346131,16,21.835668
93.263995,20,21.855614
84.404471,19,21.874563
75.944154,17,21.890492
87.390614,20,21.910439
153.475815,35,21.946371
122.856041,29,21.975302
126.073122,28,22.003413
75.854124,17,22.019372
87.304105,19,22.03932
150.618801,32,22.072235
112.47934,26,22.099159
107.031351,23,22.122098
157.88183,35,22.158003
82.365283,18,22.175954
129.299481,29,22.205875
80.447345,18,22.222829
161.302073,36,22.259732
166.521124,35,22.296631
133.136426,29,22.325526
107.165859,23,22.348493
114.26547,24,22.735436
106.387047,26,22.762391
160.233657,34,22.798298
135.340641,30,22.830181
138.551688,32,22.863678
116.672327,26,22.890605
84.888437,20,22.910551
213.792614,46,22.957454
92.186343,20,22.977962
74.580211,17,24.134816
136.680402,29,24.164737
76.274823,17,24.18568
111.484067,27,24.214604
140.054256,31,24.246518
195.52558,44,24.305361
71.176731,16,24.324311
87.186202,19,24.344258
98.690012,23,24.369717
88.388308,19,24.389692
81.122406,18,24.407645
80.818298,18,24.426594
112.124878,24,24.451198
125.982194,28,24.479122
164.431708,36,24.518684
96.357663,21,24.538629
155.441612,33,24.571542
144.317266,32,24.60545
131.890722,28,24.633376
116.743034,27,24.660304
76.474813,17,24.678256
108.856538,24,24.702165
186.679859,40,24.744053
114.255827,25,24.77001
132.914987,29,24.7995
126.007338,27,24.826425
101.44708,22,24.848366
137.795755,31,24.879284
173.629074,39,24.922169
176.733793,42,24.967049
126.98066,29,24.997599
80.38478,18,25.014555
223.676348,53,25.071156
108.589647,24,25.096089
129.549481,27,25.124015
126.3818,28,25.152941
129.608373,28,25.18186
127.587031,28,25.210128
81.057488,18,25.228105
80.761837,18,25.246057
170.554905,37,25.284952
87.072634,19,25.303056
136.970997,31,25.333973
80.211473,18,25.35193
115.059109,27,25.378854
104.724317,23,25.401793
131.187644,33,25.435705
139.459421,30,25.465621
245.764526,54,25.522071
124.749764,29,25.553018
75.366897,17,25.569971
85.72877,19,25.58892
127.484896,31,25.620193
119.764822,26,25.646123
156.01914,35,25.684022
104.662665,23,25.706962
86.372679,19,25.725911
118.83528,26,25.753835
132.182883,30,25.784725
96.893558,21,25.805669
186.355332,40,25.849552
82.030411,18,25.867504
176.747107,39,25.907423
178.032942,36,25.944325
120.995447,26,25.96992
119.910272,26,25.996819
95.76917,21,26.017849
135.183936,30,26.048767
124.504993,29,26.080373
197.92292,42,26.125282
133.533444,30,26.156172
179.705032,38,26.196092
128.336791,30,26.227009
114.219491,25,26.253937
106.000068,23,27.393841
120.74759,26,27.422764
91.11907,20,27.443708
184.767546,43,27.496567
140.215048,32,27.536297
88.503215,21,27.560844
85.726902,19,27.581789
185.970649,42,27.626694
76.078268,17,27.643644
126.151779,28,27.672546
150.372572,33,27.706485
88.764097,21,27.727435
87.232755,19,27.746379
163.798137,34,27.786273
155.545084,36,27.822168
221.887539,46,27.870106
218.810679,47,27.918975
195.395557,42,27.963855
191.158768,42,28.007304
174.578371,38,28.047197
121.009557,26,28.073432
119.174204,26,28.099364
99.417514,22,28.122302
125.323847,27,28.14923
125.518477,27,28.176159
178.377141,38,28.216052
94.712174,21,28.236994
138.091227,31,28.267911
142.687555,31,28.298831
221.266096,47,28.345703
110.656687,24,28.369639
174.547979,37,28.408535
147.994567,35,28.444439
274.658526,57,28.504892
217.960126,48,28.555756
113.6098,28,28.584678
124.865646,28,28.614601
224.341261,47,28.66743
160.011214,35,28.707322
141.335421,31,28.739265
125.638714,27,28.767192
128.554403,27,28.795123
125.180669,28,28.823041
169.838528,39,28.863932
137.855382,30,28.894849
98.458346,23,28.918785
168.005335,38,28.95768
91.436692,21,28.977879
90.967503,20,28.997826
169.089543,41,29.040713
114.71234,26,29.066647
261.002545,58,29.128141
86.679998,21,29.149087
246.890189,56,29.207927
115.881596,26,29.233859
143.193621,30,29.264776
287.423468,62,29.329602
95.723723,21,29.350545
160.085387,38,29.389648
290.742734,62,29.45647
247.146098,52,29.510516
148.251596,33,30.659133
334.498187,73,30.753878
116.366422,26,30.785793
132.641481,29,30.817719
178.550763,40,30.859606
142.685341,33,30.892547
142.828843,32,30.926462
125.011211,29,30.958374
109.332632,24,30.982965
86.204508,19,31.000917
86.077845,19,31.019867
94.772648,23,31.041808
269.733472,53,31.102645
149.522822,33,31.137433
112.086581,24,31.160368
78.842342,19,31.180315
75.181601,17,31.19727
117.203672,28,31.227162
296.175104,62,31.293014
183.753194,39,31.332906
84.69835,19,31.351856
141.483337,34,31.386762
134.169721,28,31.414688
148.926323,32,31.448602
141.218955,32,31.480511
138.189826,29,31.511017
166.8249,36,31.548915
114.394729,24,31.577845
90.005732,20,31.597784
95.600087,24,31.621727
155.753289,33,31.656627
114.118876,24,31.681561
191.853076,41,31.724448
131.318265,29,31.754366
80.405157,19,31.773426
189.69892,41,31.816337
156.444738,34,31.849252
131.789605,29,31.882134
85.075069,19,31.90111
119.946865,27,31.927041
146.933362,34,31.961948
76.100263,17,31.978582
122.946952,28,32.006508
141.063797,30,32.037432
81.109356,18,32.054383
259.186328,51,32.108236
147.454676,33,32.143614
104.659504,24,32.168548
199.316319,42,32.211432
287.56361,56,32.271245
159.539982,36,32.31017
127.209857,28,32.339062
193.196006,47,32.389957
125.824666,30,32.419874
161.473767,34,32.454783
130.077014,30,32.485305
210.642193,46,32.531827
225.601271,47,32.579732
71.613266,16,32.594695
116.920634,25,32.618628
163.143792,37,32.655529
120.289841,25,32.68243
127.255089,28,32.715342
146.431454,32,32.749251
180.005033,38,33.875943
158.643967,34,33.916834
78.624898,18,33.941767
191.177367,41,34.007688
184.652127,41,34.060546
254.083041,56,34.125373
132.811108,28,34.155825
211.144401,47,34.205719
202.806188,44,34.253593
117.221419,28,34.282513
88.878834,20,34.30246
206.66584,43,34.34831
188.935796,38,34.392383
141.085135,30,34.423327
125.383847,29,34.452252
135.694613,30,34.484161
79.013949,18,34.50134
74.825006,17,34.517298
225.207548,49,34.569159
252.151389,56,34.626006
152.615301,34,34.660914
134.310525,31,34.693827
144.806825,34,34.729729
204.524282,45,34.777601
159.574699,36,34.817571
108.355236,26,34.845526
190.155891,42,34.890404
76.428905,17,34.907365
135.638314,30,34.940271
129.051077,27,34.967203
157.833483,35,35.003744
130.060905,30,35.034653
306.4854,62,35.102443
110.21824,25,35.129399
88.808771,20,35.150165
85.486066,19,35.169108
257.233193,54,35.227951
138.913661,30,35.25787
114.69035,25,35.283801
90.943591,20,35.303748
137.366786,29,35.332644
86.591019,19,35.351594
163.15621,38,35.392521
181.214261,38,35.431423
180.374582,41,35.474281
146.854962,32,35.506853
132.270533,28,35.537771
249.41471,54,35.592597
193.825665,43,35.6385
192.15392,42,35.684378
226.267385,51,35.737209
97.718258,26,35.764165
166.260436,38,35.805707
249.026939,61,35.871531
104.528094,23,35.89447
335.806863,72,35.970857
169.494246,36,36.010779
137.016384,29,36.040698
188.736795,44,37.266531
290.618423,67,37.346319
297.671535,61,37.419124
175.692674,37,37.45871
132.346673,33,37.493183
153.476119,34,37.52809
235.016393,50,37.581554
180.377854,39,37.629426
251.240504,52,37.694255
227.402652,46,37.748136
142.959635,30,37.780051
270.699865,62,37.844908
145.629599,31,37.876834
160.40142,36,37.914733
118.214724,28,37.942657
197.75111,42,37.985882
253.675459,59,38.047719
182.808449,43,38.091599
224.145568,47,38.142459
191.653984,44,38.188462
148.055283,33,38.223369
281.48282,58,38.286201
216.519401,49,38.337095
119.114646,26,38.36402
385.445543,84,38.455774
246.644737,51,38.508228
252.033478,56,38.569032
199.999233,48,38.622888
198.699304,44,38.670791
99.766622,24,38.694724
191.220713,41,38.740574
187.782992,42,38.793433
350.991773,81,38.881199
202.973764,47,38.931066
113.100387,27,38.959018
152.059554,35,39.353964
140.746121,33,39.388446
251.216265,53,39.446263
85.899334,19,39.465214
263.909094,51,39.521695
204.940134,49,39.573556
233.923674,50,39.625417
286.364517,60,39.696278
251.965445,52,39.750107
132.767493,29,39.780025
225.240235,56,40.94588
148.689762,35,40.993755
102.14826,23,41.024673
175.417632,42,41.071547
242.434155,51,41.12748
224.262668,48,41.178372
211.329109,44,41.224255
135.78545,29,41.255172
187.951507,41,41.298061
147.091051,31,41.329974
409.3731,81,41.416739
100.243766,22,41.438652
278.819167,56,41.502114
234.647567,47,41.55298
120.399962,30,41.583896
253.658788,51,41.637751
199.734609,43,41.683656
205.71499,47,41.731528
218.473577,50,41.784985
156.901933,34,41.819891
142.858734,30,41.850811
307.770705,67,41.928601
172.478233,35,41.965605
247.787103,58,42.026007
74.777748,17,42.042963
304.32215,64,42.113805
142.562095,30,42.146712
213.667564,45,42.1935
126.551624,27,42.220459
98.072965,22,42.242399
179.206508,40,42.285285
198.117742,43,42.33116
175.521139,38,42.370056
423.666386,81,42.457859
185.099785,43,42.502992
193.093799,44,42.548443
308.396246,64,42.617157
175.061589,39,42.65608
201.564086,46,42.703923
204.563401,42,42.746836
250.598633,55,42.804681
210.511324,47,42.854549
155.189341,34,42.889111
87.999571,21,42.910057
129.069405,29,42.939973
294.625469,58,43.003558
219.74797,48,43.053424
187.314746,42,43.097306
163.062938,37,44.266432
256.833192,55,44.339238
188.493416,47,44.392097
379.988682,80,44.483851
212.121289,46,44.530278
256.142606,57,44.592085
203.676939,45,44.639993
148.521362,35,44.678851
285.995409,67,44.748697
216.647309,51,44.801583
153.002112,32,44.835491
248.246147,53,44.892338
125.276417,28,44.921233
222.193006,45,44.969201
133.874225,29,44.998199
163.008655,37,45.036095
245.124889,48,45.08696
204.322733,47,45.137796
302.725465,68,45.213623
141.339736,31,45.253288
175.065742,41,45.297144
157.555504,34,45.333075
114.582351,24,45.357017
241.703373,54,45.415854
263.256579,55,45.473698
181.011677,39,45.512253
133.586456,31,45.544732
164.081234,38,45.582659
155.508949,33,45.61657
86.558694,19,45.63452
136.520737,30,45.665438
268.149249,55,45.731262
269.518969,54,45.78811
200.873485,42,45.833097
214.789069,46,45.879968
241.25996,50,45.932832
211.88712,49,45.984081
198.945398,43,46.028961
169.175917,39,46.068855
319.336279,65,46.138667
112.84855,25,46.164245
209.691407,45,46.212116
519.833145,109,46.332733
232.234734,48,46.3836
131.173312,29,46.412523
102.389782,23,46.434465
314.409917,66,47.59314
381.920246,84,47.684368
333.739934,72,47.769169
338.434299,75,47.851921
184.363723,38,47.892769
289.517119,60,47.957594
207.641509,45,48.004474
323.16688,67,48.074315
317.859563,63,48.151109
177.328358,37,48.189008
191.999208,41,48.234858
126.012499,27,48.265072
349.437843,69,48.344887
143.625998,33,48.379765
229.496907,47,48.429632
148.151586,33,48.463542
307.838734,70,48.539127
229.017678,48,48.589993
145.588528,35,48.626892
189.909078,44,48.670779
239.750945,51,48.724602
241.423042,55,48.782476
215.656422,47,48.832373
224.594029,46,48.880244
95.163584,21,48.900192
137.997795,35,48.937064
162.088074,35,48.972
170.170145,37,49.010514
101.853809,22,49.032482
374.799535,76,49.11623
215.521346,49,49.167122
211.934617,50,49.218984
187.465039,44,49.265145
212.602587,46,49.314028
241.705399,51,49.375835
260.749307,53,49.431409
172.477667,43,49.476261
102.25276,24,49.500757
198.383498,44,49.547658
235.657719,49,49.599524
217.298115,52,49.654377
112.579352,24,49.679308
253.908126,59,49.746128
289.448876,60,50.949157
422.215686,91,51.052489
212.007891,48,51.108338
209.352717,48,51.167181
249.618647,57,51.229017
227.02617,47,51.27891
319.035915,70,51.354028
412.895313,91,51.456782
210.846945,46,51.506267
324.593672,68,51.580067
164.800863,38,51.619933
301.019077,62,51.685784
175.388351,37,51.724684
198.811852,45,51.774162
414.877104,85,51.863952
181.085074,40,51.904842
315.981303,64,51.971309
187.963406,40,52.012199
327.133585,73,52.090989
130.912749,28,52.118916
246.291096,51,52.172741
297.49042,65,52.24455
241.023381,56,52.303813
331.188497,73,52.381636
304.377618,70,52.458008
133.802463,31,52.489543
151.690279,34,52.524477
305.951057,69,52.595896
405.927319,84,52.686626
286.754856,67,52.757465
138.122066,30,52.78938
387.714209,82,52.882133
157.653939,37,52.919033
264.841715,59,52.981627
158.679823,34,53.017533
179.682276,41,53.060416
230.722814,46,54.23397
299.35434,59,54.304115
223.38781,50,54.359965
277.141064,61,54.430051
242.284733,51,54.488912
241.655304,55,54.548321
241.32926,50,54.60118
325.47166,76,54.688945
250.78279,55,54.74679
333.273006,67,54.819597
167.831391,39,54.861456
271.074532,59,54.924316
267.10815,53,54.981657
156.02636,33,55.016126
282.274804,58,55.075966
378.07853,75,55.15476
294.91178,61,55.218585
274.196375,69,55.291747
187.558262,42,55.336191
182.590386,41,55.380072
298.705586,68,55.452877
159.99394,36,55.489782
356.117395,71,55.567069
227.718132,51,55.617934
553.07618,123,56.10632
321.859502,64,56.178519
229.796843,46,56.227503
192.885853,44,56.274378
368.368901,74,56.354868
213.856026,50,56.407728
262.448377,60,56.472527
310.967303,65,56.5518
269.385144,58,56.619648
250.602966,51,56.676467
136.630928,32,56.718355
546.627364,136,58.022089
553.512775,116,58.151743
265.692957,55,58.211606
235.02053,52,58.266463
287.410277,58,58.328303
176.168752,39,58.371772
275.922377,57,58.433607
190.833332,44,58.479486
286.851863,61,58.546973
313.578755,61,58.613765
225.176691,50,58.66862
250.585507,57,58.731481
140.11338,30,58.762396
210.167482,49,58.81329
418.18967,85,58.904019
260.80145,58,58.963917
381.829661,77,59.049343
349.301985,71,59.124109
146.324196,33,59.159044
282.74436,61,59.224867
285.450388,58,59.286708
198.921492,45,59.333549
257.007466,56,59.395966
277.014651,62,59.462665
299.102292,58,59.528124
269.189433,59,59.591953
255.386703,56,59.651795
290.279321,59,59.718614
274.158191,61,59.784441
472.39058,93,59.891188
185.416945,40,59.931087
373.836908,76,60.011036
462.746667,95,60.114142
351.621525,74,61.374594
297.927358,64,61.4474
248.214352,48,61.499861
186.310272,44,61.550725
258.733581,52,61.606606
342.073102,70,61.682405
224.712089,49,61.734266
239.641077,52,61.789049
404.655231,79,61.880801
132.529,29,61.91169
321.942177,64,61.980161
184.275482,39,62.019056
313.759999,69,62.094854
243.656199,59,62.155693
445.319454,94,62.256425
337.78923,68,62.330224
196.317119,41,62.374092
261.711729,60,62.437888
231.069307,48,62.488295
260.486724,63,62.566255
481.611489,91,62.662996
207.728304,47,62.713859
317.527672,64,62.782709
160.942531,38,62.822626
263.843476,51,62.883156
257.814169,56,62.941998
201.827747,47,62.989549
292.294969,56,63.049895
192.234048,44,63.09677
143.80317,32,63.129684
224.709431,51,63.182543
190.506759,43,63.227422
289.047212,58,63.289257
277.043898,59,63.351089
265.086393,55,63.410499
270.366926,62,63.478317
242.410111,52,63.532801
288.377579,68,64.744202
284.242974,58,64.806037
255.830019,59,64.870892
303.761659,58,64.936715
468.994076,94,65.039531
246.841159,53,65.096378
265.262042,55,65.165166
394.589691,87,65.260514
384.037872,76,65.342295
266.628407,55,65.402518
326.978863,74,65.482332
233.398366,51,65.536345
143.256913,32,65.57322
181.965293,41,65.615108
336.506085,69,65.688911
287.093274,62,65.754735
255.934392,54,65.812585
219.378278,50,65.868462
239.873749,53,65.928302
193.239264,44,65.974743
205.123586,46,66.022267
154.869023,32,66.055176
255.816892,57,66.118011
234.585622,49,66.169869
246.765401,53,66.223697
294.025632,62,66.290548
576.456358,114,66.41955
169.347853,37,66.457448
220.380173,49,66.508951
271.963224,58,66.571783
279.48616,65,66.6406
144.923625,31,66.672487
223.479935,48,66.723509
395.645408,76,66.806945
158.252125,36,66.844845
226.162922,50,66.89967
368.573261,77,68.094299
232.931594,48,68.146159
338.958124,80,68.235949
266.536397,53,68.293799
328.243735,67,68.369589
449.001753,90,68.467573
281.339196,59,68.531047
191.152321,43,68.575922
195.341123,41,68.618807
401.621911,80,68.703553
350.172192,79,68.788354
375.941429,74,68.86911
271.535117,61,68.935932
113.077181,25,68.961863
353.887433,68,69.042338
182.426926,43,69.087218
268.844837,65,69.15703
303.407854,65,69.22485
336.073042,81,69.309622
108.89206,23,69.332561
285.205194,61,69.397388
193.095754,41,69.441685
295.926747,69,69.516068
250.539202,59,69.5789
249.212165,51,69.632759
410.873797,83,69.719523
294.904653,62,69.78435
246.597033,50,69.835317
200.804414,47,69.885184
196.906029,43,69.931065
309.201153,63,70.003001
277.629548,61,70.073813
372.753308,79,70.160611
371.326382,88,70.257321
251.359715,55,71.424262
371.363705,76,71.515289
491.588647,109,71.638926
271.344022,54,71.696799
320.001152,64,71.765258
232.895698,50,71.815231
427.746589,90,71.91197
506.74426,106,72.027281
245.093844,52,72.086123
353.565413,71,72.164913
398.460864,82,72.254672
219.146159,54,72.31551
254.98157,51,72.370366
278.983216,57,72.430202
449.213592,96,72.535447
358.728311,71,72.954875
274.161258,53,73.014316
275.070147,63,73.081167
361.293543,79,73.165481
331.803832,67,73.239453
307.948946,74,73.320242
328.522003,66,73.392043
342.498826,76,73.472828
254.047443,57,73.544058
164.61544,35,73.581929
225.908889,50,73.633821
157.833848,35,73.671688
301.702004,62,73.740505
346.839902,68,73.813309
290.528563,62,73.880159
524.890084,106,75.074759
232.607536,55,75.137618
285.060238,56,75.207403
413.146313,83,75.301179
226.555172,49,75.354038
257.536963,51,75.408892
223.065346,51,75.462747
286.255228,57,75.523927
256.444614,54,75.581797
354.906426,79,75.666569
242.812637,48,75.723421
300.49848,60,75.78729
289.029752,59,75.851129
254.099737,55,75.908957
249.997092,50,75.962786
299.986353,60,76.029742
289.951223,67,76.099801
325.359171,68,76.170611
119.953544,26,76.198539
301.946677,61,76.268324
357.693499,81,76.362072
297.243391,62,76.429918
349.585718,69,76.503928
260.714642,55,76.5628
245.246229,50,76.616628
472.308934,91,76.719352
79.568212,18,76.737305
433.661917,84,76.827721
320.743607,72,76.905048
331.163651,65,76.972492
390.765187,76,77.052256
367.392076,74,77.131073
399.573231,89,77.223827
228.331022,47,78.399647
217.947144,49,78.459486
532.165779,112,78.59526
229.174853,52,78.650083
286.819597,58,78.71394
278.56398,56,78.771786
333.905421,80,78.857557
422.645953,82,78.946321
379.082947,81,79.032166
