#{"t_start": 1789805690.1339798, "env_id": "MicroDuck-v1"}
r,l,t
20.770553,17,12.860786
16.202414,11,12.873751
21.731477,18,12.892673
33.667832,36,12.940335
7.181598,11,12.955289
17.509722,22,12.98319
7.13473,10,14.245565
23.062546,41,14.291443
53.703166,37,14.340312
32.760919,20,14.365246
13.62752,24,14.39731
11.262687,12,14.41634
12.526436,18,14.440945
13.80946,14,14.455692
29.36544,26,14.481332
13.374055,15,14.496936
28.513766,51,14.54926
18.303322,22,14.569286
20.446719,12,14.581807
12.955584,17,14.596395
14.262243,9,14.606386
26.845878,17,14.622416
19.376793,14,14.636577
47.848709,44,14.687944
39.466078,31,14.718084
13.268477,19,14.738539
36.748881,44,14.782551
30.220452,27,14.809077
19.412931,35,14.842776
19.087436,15,14.859388
7.555187,19,14.876925
12.766485,17,14.894247
14.440833,11,14.904726
23.34231,13,14.920273
37.451737,30,14.948373
18.270629,10,14.959977
16.091925,12,14.974866
0.48833,37,15.014279
19.094849,11,15.029283
15.468295,9,15.040255
106.577606,59,15.105786
23.415025,16,15.122436
34.470554,35,15.159928
2.684584,14,15.175698
16.679364,18,15.193882
27.13076,25,15.220204
15.056885,17,15.237404
5.965728,23,15.26245
26.088223,16,15.281912
26.752947,29,15.31464
74.771248,42,15.358885
41.298114,34,15.391311
16.825224,17,15.408564
3.512473,15,15.424066
25.418899,24,15.447011
16.311178,11,15.458226
22.256521,16,15.47523
3.68859,18,15.493992
21.50478,17,15.517158
13.215254,8,15.527062
51.582666,44,15.573443
26.445492,28,15.607084
14.640957,28,15.638258
50.002807,33,15.674491
24.331782,40,15.715558
19.711076,18,15.738135
66.496871,49,15.794241
24.511291,23,15.816871
25.3729,22,15.839759
13.750154,11,15.852775
34.075195,29,15.881109
45.637844,40,15.934826
26.172278,21,15.955556
19.971839,12,15.96726
72.438923,65,16.035333
38.180217,28,16.063293
18.772356,15,16.078743
14.101077,14,16.093882
27.626602,41,16.131737
15.032248,18,16.149171
12.223246,18,16.165439
39.112587,24,16.187813
23.2428,29,16.215769
25.581989,18,16.232373
18.34851,21,16.251859
10.128625,26,16.280571
12.785685,7,16.289553
18.819319,20,16.308866
42.443475,31,16.34312
11.619834,26,16.374734
2.901654,10,16.385312
13.67935,8,16.394443
21.352026,15,16.41842
36.586272,39,17.770588
26.99317,17,17.791531
20.65549,16,17.811488
16.431549,8,17.821477
41.443957,45,17.87495
6.338591,11,17.889449
9.93232,34,17.931681
28.35627,38,17.968842
33.79691,30,17.995721
1.718331,11,18.006797
1.593143,9,18.017402
20.751815,34,18.051425
25.705516,14,18.065903
39.412202,43,18.11093
24.795734,13,18.122687
21.675284,16,18.138484
21.483731,19,18.156629
37.086591,35,18.189823
22.212947,20,18.207944
12.663988,7,18.214626
14.055347,7,18.222961
31.388121,32,18.255903
36.230449,24,18.278385
3.991571,10,18.288723
18.553001,14,18.301422
20.513997,14,18.315035
11.114338,16,18.329196
32.649734,24,18.352149
52.351987,33,18.384469
55.338132,50,18.430218
26.158929,27,18.455591
1.331569,10,18.46526
24.36062,25,18.488012
41.31673,27,18.514216
12.281646,20,18.535145
38.281737,34,18.573879
26.462501,17,18.591718
27.788887,15,18.607684
33.766482,22,18.632052
22.138991,17,18.651096
22.46652,12,18.664108
16.914201,24,18.686758
15.420299,16,18.701237
11.871428,19,18.718686
21.257589,17,18.734234
6.960727,11,18.743846
9.180822,10,18.753329
40.859323,30,18.781551
8.51953,15,18.795514
38.174243,33,18.826351
45.882541,32,18.855589
26.612632,27,18.881423
14.999046,9,18.890419
