#{"t_start": 1789799363.266284, "env_id": "Walker2d-v5"}
r,l,t
-5.41715,17,11.549262
6.965137,27,11.570206
25.401183,37,11.599128
0.751485,18,11.612825
16.288339,32,11.637758
7.738691,27,11.6597
3.920147,20,11.675657
-5.59587,10,11.683636
19.637396,46,11.71954
4.075701,20,11.735497
-0.614331,11,11.744473
29.510727,52,11.786001
-1.66292,30,11.80894
1.15874,25,11.827889
6.496539,33,11.85382
9.953683,38,11.883739
11.546753,23,11.901691
1.47026,13,11.912277
2.554554,20,11.927237
-4.51886,16,11.940202
1.702108,20,11.957157
-4.039826,24,12.971814
45.435208,61,13.032651
36.971403,50,13.081521
9.54151,27,13.103461
19.001769,86,13.176278
12.188197,60,13.223153
10.013705,40,13.255642
22.28357,41,13.287557
2.486804,13,13.298562
13.710903,33,13.324659
15.099305,38,13.354581
14.76537,38,13.384471
32.365274,57,13.429563
4.804487,15,13.441532
29.850294,78,13.502369
41.14395,107,13.585148
-0.193662,15,13.597115
8.142604,25,13.617062
2.807578,21,13.633019
14.320495,31,13.656955
30.647574,43,13.690865
45.636017,62,13.739734
114.399292,114,13.829043
30.705345,65,13.879827
1.49876,16,13.891794
23.673015,70,13.947645
9.125626,23,13.965597
74.719657,104,14.046936
74.230462,87,14.113757
7.57329,18,14.127719
24.420522,48,14.165618
17.331885,33,14.191549
33.775648,73,14.247402
28.560277,67,14.300261
-1.924184,11,14.30824
37.719743,59,14.355114
36.466752,66,14.405546
43.238914,63,14.457867
20.184221,51,14.506735
11.441925,38,14.539648
14.031847,55,14.597496
8.353493,35,14.635393
10.549905,26,15.666964
-1.50605,13,15.678933
90.768515,120,15.780222
12.759871,30,15.804159
2.061903,16,15.819118
14.67615,43,15.854054
14.308532,38,15.884943
21.117363,55,15.927892
36.136657,41,15.959806
79.770078,87,16.030615
25.85887,49,16.068516
6.076005,30,16.09245
-0.817913,14,16.103393
4.232098,16,16.115361
-4.351037,165,16.245207
24.66198,87,16.315019
8.610219,34,16.341948
29.691233,137,16.447971
25.534362,76,16.507813
26.53211,41,16.539728
39.590505,94,16.613528
62.132953,96,16.688434
-30.140336,114,16.782453
59.662703,104,16.863266
6.835085,42,16.896176
34.924912,48,16.934047
44.278018,106,17.018414
10.577066,26,17.039358
3.379757,26,17.059336
2.590575,14,17.070339
214.470291,172,17.790267
21.899882,45,17.831157
103.332288,256,19.040594
86.843237,121,19.138346
15.097296,99,19.217141
22.011587,77,19.278672
105.925786,122,19.373446
152.809931,103,19.45381
30.257319,100,19.532166
128.507824,270,19.755718
50.013702,118,19.848094
15.058899,57,19.892005
19.845087,48,19.929903
27.853482,68,19.981764
-2.446588,10,19.989743
21.750085,34,20.016644
132.70943,108,20.102441
209.39796,151,20.217134
-0.658834,120,20.310506
53.760339,75,20.369345
22.394443,42,20.40223
88.689377,116,21.526106
57.977269,120,21.633817
82.457479,83,21.704134
17.363132,133,21.813395
14.163499,34,21.839326
179.235011,142,21.948031
124.061207,115,22.037794
50.31197,78,22.098629
23.760901,122,22.191952
121.562551,167,22.321178
10.712387,155,22.443877
38.953323,87,22.512009
42.69622,64,22.562845
111.307509,96,22.636678
208.212079,186,22.785061
337.894596,517,24.225636
56.558242,165,24.372018
1.935265,22,24.389028
407.81807,405,24.703942
182.385915,116,24.79712
266.196232,217,24.9676
44.142365,99,25.044394
207.301065,223,25.217983
129.138453,130,25.31956
241.936871,168,25.451239
28.036061,83,25.522493
217.607988,196,25.677107
182.557052,156,25.799359
91.624869,110,26.891164
96.465034,163,27.031821
80.066099,191,27.181982
45.712162,91,27.251472
209.824384,187,27.410043
210.628768,142,27.521847
203.904185,261,27.731992
176.37445,148,27.849681
183.063789,191,27.999339
54.556633,62,28.048242
2.899004,23,28.066222
75.906623,171,28.199866
216.488022,154,28.319146
83.198386,72,28.374654
95.610604,160,29.540287
249.253754,212,29.720778
103.729466,200,29.8791
64.004662,116,29.967861
223.903358,154,30.091038
145.329304,228,30.268302
154.094382,178,30.404968
82.453884,115,30.493758
257.565032,135,30.606537
256.520584,169,31.193298
187.47205,122,31.290045
55.499601,91,31.365839
307.12971,196,31.51754
299.393516,168,32.699738
168.647806,264,32.921519
104.593687,306,33.168342
275.383302,173,33.303711
288.164506,172,33.437984
384.927611,236,33.624846
258.91718,189,33.781424
195.053719,150,33.899138
248.676816,164,34.027501
90.572018,163,34.156157
285.127609,182,35.337516
96.255908,228,35.520059
377.981945,219,35.693039
