#{"t_start": 1789798998.3340058, "env_id": "Hopper-v5"}
r,l,t
125.636107,67,12.137682
210.671058,105,12.220054
98.592182,56,12.262944
88.323771,56,12.306362
14.917739,28,12.328305
146.284938,77,12.387149
69.669613,42,12.41909
177.178315,113,12.506855
120.312877,63,12.556722
6.386733,9,12.562713
178.859703,82,12.625538
113.469923,70,12.679394
78.833634,46,12.715052
71.285103,48,13.724597
144.575811,75,13.785463
93.051742,55,13.83137
50.440221,32,13.857273
62.102741,38,13.887192
123.737936,67,13.947003
109.358615,62,13.993907
130.781932,70,14.047796
138.140812,69,14.101661
90.463469,52,14.141517
72.317724,42,14.17346
156.407546,93,14.245862
141.883556,87,14.314286
63.094881,43,14.350217
102.079689,60,14.400056
140.652511,75,14.459954
104.656044,59,14.50683
157.500029,120,14.60061
81.68301,48,14.637509
88.563525,56,14.682052
90.225271,52,14.721625
85.713193,58,14.766505
40.557126,33,14.792436
48.146252,35,14.818397
91.66787,52,14.857293
104.977102,91,14.929784
68.826795,41,14.9607
143.317683,111,15.046472
123.074968,65,15.096337
103.208455,71,15.412702
78.865324,46,15.452013
118.099448,75,15.510854
99.854583,57,15.556733
177.872259,90,16.649111
249.200308,119,16.753154
78.101883,46,16.789718
68.918768,42,16.82263
162.935076,80,16.884495
123.08543,65,16.935734
57.399589,35,16.962662
135.466846,71,17.018515
248.443589,118,17.109269
64.461983,40,17.140187
121.814971,67,17.196219
113.310316,62,17.243124
114.637427,62,17.293988
101.486607,60,17.342365
92.579914,53,17.385251
12.758513,14,17.397218
133.320556,71,17.4521
223.329021,133,17.555823
86.365386,53,17.597715
184.785464,85,17.664534
208.906964,96,17.739256
110.248174,64,17.790271
194.725668,100,17.866063
115.425633,62,17.912938
97.437152,61,17.961248
84.218278,47,17.997154
96.678527,53,18.038043
6.70555,10,18.046028
136.35323,74,18.10287
155.529704,76,18.161712
155.393094,83,18.225181
129.049844,68,19.284573
218.091887,108,19.391288
70.427093,42,19.436169
145.210806,75,19.50505
230.929324,108,19.594837
103.299688,57,19.638722
240.894948,110,19.727375
163.99337,82,19.791196
151.106993,80,19.853538
213.623277,95,19.928399
147.730699,76,19.987249
165.394708,79,20.049146
82.066259,49,20.087039
95.154751,59,20.131926
217.851677,98,20.206941
203.137207,93,20.280774
62.653698,40,20.311697
152.989862,83,20.374523
213.17202,95,20.451324
142.659088,75,20.511163
98.695754,55,20.55411
193.809417,88,20.622926
201.835911,93,20.697305
237.073728,112,20.78507
65.547907,39,20.815017
193.103464,87,20.882835
237.569771,105,22.020422
144.637175,81,22.091233
211.707896,108,22.179564
200.399106,98,22.255398
150.149246,74,22.313797
163.154674,76,22.372674
64.535288,39,22.403587
284.069692,132,22.508416
174.410767,84,22.573275
241.69789,106,22.657051
99.637666,60,22.703089
102.086969,56,22.746035
60.187013,37,22.775157
199.938073,93,22.846974
194.795202,88,22.91678
213.855026,94,22.990207
109.209368,59,23.036087
202.841269,97,23.113928
201.002658,93,23.185357
206.159534,107,23.266143
237.460957,104,23.348922
225.305811,101,23.42768
71.00534,42,23.46062
215.211682,96,23.537387
156.38368,77,24.63482
236.871679,119,24.745378
233.686171,102,24.82917
128.563545,70,24.883054
210.502549,94,24.956402
222.681495,105,25.037387
212.332881,92,25.108761
245.933667,108,25.198796
209.490941,95,25.276616
241.439346,114,25.364415
229.545772,104,25.446192
234.443758,101,25.526983
56.475367,35,25.553938
213.707087,97,25.631707
226.04026,103,25.716611
213.312714,95,25.7954
156.410942,74,25.861256
209.914589,94,25.934059
190.856592,97,26.010527
61.877693,37,26.043803
189.762596,89,26.112976
205.265418,92,26.183948
224.952695,100,27.268265
190.304298,90,27.349047
231.859413,106,27.433862
96.124654,57,27.483728
214.016785,97,27.559559
206.508725,92,27.632386
225.40517,102,27.711368
217.013376,97,27.788824
207.605814,92,27.859641
220.249207,98,27.937529
201.649131,92,28.008339
210.051356,95,28.084628
203.363055,90,28.155467
217.142542,97,28.230849
198.791549,91,28.301718
213.44567,94,28.375522
203.627531,90,28.445335
212.586518,96,28.801575
216.434212,94,28.877587
199.492465,88,28.945899
206.474054,94,29.019074
195.726725,96,29.092997
