#{"t_start": 1789795640.4167995, "env_id": "Ant-v5"}
r,l,t
-21.620014,41,52.544788
-12.444294,22,52.566728
-14.227891,17,52.58531
-79.736786,81,52.6732
-30.825682,35,52.708135
-112.049966,88,52.796119
-77.648958,85,52.891248
-44.886364,36,52.929146
-1.537016,14,52.950091
-1.553798,29,52.980015
-24.606325,13,52.993979
-61.397204,45,53.03786
-12.971272,14,53.05282
-966.811015,1000,54.128555
-62.126368,45,54.173435
-9.455689,14,54.187399
-110.748967,141,54.344975
-20.10162,28,54.372901
-943.601333,1000,56.665336
-13.287631,49,56.718194
-37.388005,29,56.7476
-63.462484,62,56.812453
-5.619474,9,56.822115
-101.203046,61,56.886312
-138.521391,129,57.019983
-54.331965,30,57.049167
-97.894624,91,57.141747
-81.618419,132,57.270517
-12.715582,15,57.284479
-40.402806,41,57.32936
-1047.248402,1000,59.564438
-33.12163,34,59.598346
-150.262684,144,59.740252
-73.360996,88,59.825289
-69.980988,37,59.862192
-71.418571,77,59.938301
-0.948708,14,59.954288
-41.163958,27,59.987172
-19.231448,27,60.013099
-3.464385,17,60.030083
-44.89056,29,60.058008
-45.884433,55,60.112539
-4.604348,28,60.141464
-21.749825,12,60.153458
-6.270454,14,60.167421
-19.170042,15,60.186371
-60.802836,61,60.254189
-63.019823,49,60.305057
-59.257292,58,60.366892
-4.731123,8,60.378859
-41.768627,36,60.414762
-111.558712,122,60.53448
-18.299841,22,60.556422
-47.423164,24,60.581355
-3.853106,31,60.611274
-16.304297,18,60.62934
-41.116997,22,63.513901
2.127931,16,63.529858
-53.148722,40,63.56975
8.18248,16,63.585736
-26.923016,30,63.621783
-183.885331,131,63.758901
-47.834512,56,63.819965
-14.266269,21,63.844643
-83.540705,52,63.906477
-17.231087,25,63.935146
-33.273821,38,63.974645
-69.274701,65,64.039429
-45.614786,24,64.062397
-63.497141,55,64.118585
-5.168827,28,64.146509
-3.09028,21,64.167455
-51.087369,45,64.214312
-143.192367,90,65.480923
-8.131874,8,65.490897
-5.007343,18,65.509845
-26.08049,16,65.528798
-568.14041,592,66.141321
-1.571806,11,66.153315
-17.083286,15,66.168275
-5.49406,8,66.176256
-21.690658,16,66.191214
-32.026722,99,66.299949
-24.036109,20,66.321888
-54.057384,92,66.411649
-36.737494,53,66.462545
-7.488631,17,66.478503
-17.355975,14,66.49346
-26.029861,31,66.525379
-11.413483,18,66.543361
-131.933178,138,66.689603
-1031.029326,1000,68.960318
-50.994889,74,69.036985
-69.926274,49,69.086835
-83.511508,68,69.153354
-41.731073,84,69.236135
-0.51719,23,69.26107
-16.450808,21,69.282013
-24.342498,21,69.302958
-62.796476,40,69.342877
-54.20467,49,69.391907
-90.764756,51,69.445764
-46.250446,52,69.495657
-33.564265,45,69.540515
-25.761081,30,69.570435
-61.700325,38,69.608338
-381.422469,314,69.934826
-49.334259,44,69.97874
-17.847613,34,70.016587
-30.217383,31,70.047476
-27.615568,18,70.065433
-127.368952,108,70.172717
-31.942902,21,70.192665
-43.337264,37,70.236114
-16.31227,36,70.274013
-69.27824,30,70.303964
-35.807943,30,70.342836
-60.780337,63,70.407659
-14.617012,14,70.421622
5.458411,49,70.470526
-151.915163,111,70.580229
-42.425238,44,70.62473
-14.366662,20,70.644702
-21.937953,19,70.667645
-10.488788,18,70.686564
-132.221808,115,70.8008
-40.896752,39,70.84166
-22.762471,13,70.854625
-54.222187,39,72.103491
-3.39677,13,72.117455
-48.060582,52,72.177798
-17.808706,11,72.190877
-14.285235,11,72.201848
-19.43127,17,72.218803
-106.474499,108,72.337004
-111.198823,58,72.397843
-19.125034,31,72.430753
-12.260079,27,72.45768
-47.53547,47,72.504556
-12.81196,15,72.519515
-135.548494,114,72.638883
-3.985018,12,72.650849
-63.126832,68,72.724626
-84.312894,100,72.823092
-1021.483286,1000,73.874126
